Hole_ID,X,Y,RL_AHD,Depth
RKD002,548314.8,7476791.8,467.4,45.2
RKD004,548095.6,7476396,462.3,53
RKD015,547905,7476800,470,41
RKD005,547505.9,7475596,461.6,42.4
RKD006,547698.1,7475588.5,458.6,42.5
RKD007,547901.7,7475595.9,456.8,48.5
RKD008,548005.2,7475616.9,455.9,46.9
RKD009,548192.1,7475592.9,458.6,44
RKD013,548105,7474000,454,30
RKD003,547999.1,7476396.3,462.9,48.56
RKD011,547482.5,7474003.5,453.1,42.5
RKD014,547898,7474003,452,44
RKD010,548195.6,7474811,456.6,44
RKD001,548457.8,7476782.9,467.9,57.5
RC01,548612,7477460,469,58
RC02,548655,7477369,469,53
RC03,548728,7477305,471,61
RC04,548785,7477217,471,59
RC05,548846,7477123,469,35
RC07,549084,7477540,468,49
RC08,549126,7477454,468,59
RC09,549193,7477365,472,59
RC10,549243,7477274,472,53
RC11,549306,7477193,473,41
RC12,549529,7477738,473.8,43
RC13,549582,7477647,472,43
RC14,549648,7477572,470.9,29
RC15,549691,7477499,470.9,35
RC16,549753,7477415,471,47
RC17,549818,7477343,470,45
RC18,549873,7477259,470,57
RC19,549930,7477170,473,63
RC20,548276,7477240,476,33
RC21,548388,7477074,468,41
RC22,548830,7477492,476,57
RC23,548942,7477326,473.8,57
RC24,549053,7477161,474.9,35
RC25,549580,7477274,468,47
RC26,549468,7477440,467,49
RC27,549692,7477109,467,55
RC28,549803,7476943,467,43
RC29,550079,7477611,467,43
RC30,550189,7477444,467,43
RC31,550301,7477278,467,43
RC32,550413,7477113,467,37
RC33,551076,7477559,467,43
RC34,551132,7477477,467,25
RC35,550900,7476600,467,41
RC36,551100,7476600,467,43
RC37,550900,7476200,467,43
RC38,551100,7476200,467,43
RC44,548282,7476879,470,28
RC45,548439,7476992,469,46
RC46,548564,7477164,470,50
RC47,548178,7477041,470,8
RC50,548371,7477087,471,28
RC53,548494,7476915,470,56
RC54,548613,7477099,470,48
RC55,548664,7477026,470,50
RC56,548722,7476929,470,22
RC57,548775,7476871,470,14
RC58,548390,7477435,470,16
RC59,548446,7477350,470,16
RC60,548499,7477272,470,36
RC61,548552,7477534,470,14
RC62,549109,7477072,476.9,10
RC63,548995,7477249,473.4,36
RC64,548893,7477390,473.5,52
RC66,549639,7477042,468.7,18
RC67,549355,7477601,465,20
RC68,549419,7477514,465,26
RC69,549531,7477353,465,42
RC70,549638,7477182,465,46
RC72,548999,7477599,465,32
RC73,550037,7477332,465,38
RC74,549970,7477058,465,40
RC75,550027,7476966,465,40
RC76,550299,7476912,465,46
RC77,550196,7476723,465,18
RC78,550145,7476798,465,22
RC82,549908,7476783,465,12
RC83,549848,7476859,465,24
RC84,549749,7477028,465,46
RKC001,539060,7472640,432.5,49
RKC002,539020,7472600,432.4,67
RKC003,539400,7472700,433.5,38
RKC004,539400,7472800,435.3,43
RKC005,539400,7472900,435.9,47
RKC006,539400,7473000,435.4,38
RKC007,539400,7473100,435.3,44
RKC008,539400,7473200,435,31
RKC009,540200,7472800,440,13
RKC010,540200,7472900,440,28
RKC011,540200,7473000,440,37
RKC012,540200,7473200,440,47
RKC013,540200,7473100,440,43
RKC014,540200,7473300,440,35
RKC015,540200,7473400,440,25
RKC016,540650,7472870,445.9,62
RKC017,540618,7472930,445.3,55
RKC018,540600,7473000,444.3,49
RKC019,540600,7473100,442.6,47
RKC020,540600,7473200,441.6,37
RKC021,540600,7472800,442.9,49
RKC022,540600,7472700,440.9,43
RKC023,540600,7472600,440.5,37
RKC024,540600,7472500,441.1,28
RKC025,540600,7472400,440.2,19
RKC026,546028,7469518,438.1,39
RKC027,548600.1,7476796.2,471.1,109
RKC028,548501,7476797.1,468.2,76
RKC029,548396.9,7476795.8,465.7,61
RKC030,548299.4,7476797,467.3,50
RKC031,548699.3,7476801,468.2,73
RKC032,548797.2,7476798.7,464.9,25
RKC033,548354.3,7476800.5,467.1,61
RKC034,548444.4,7476794.8,468,61
RKC035,548547.1,7476799.9,470,61
RKC036,548651.1,7476801.1,470.9,43
RKC037,548758.4,7476801.5,466.2,25
RKC038,548000.9,7476396.9,462.9,55
RKC039,548041.7,7476398.1,462.6,61
RKC040,548098.9,7476398.9,462.3,55
RKC041,548144.9,7476399.4,462.2,55
RKC042,548192.5,7476395.2,462.4,67
RKC043,548247.7,7476398.4,461.7,55
RKC044,548294.4,7476398.5,461.6,55
RKC045,548350.3,7476397.1,461.3,43
RKC046,548392.8,7476397.3,462.8,37
RKC047,548496.7,7476401.1,462,61
RKC048,549297.9,7476396.9,465.3,37
RKC049,549195,7476804.7,463,37
RKC050,548205,7476800.7,465.7,43
RKC051,548249,7476804.5,465.6,43
RKC052,547900.7,7476399.3,461.8,48
RKC053,547807.3,7476414.6,461.6,55
RKC054,533600,7477600,410,37
RKC055,533500,7477600,410,31
RKC056,533400,7477600,410,30
RKC057,533300,7477600,410,25
RKC058,533200,7477580,410,25
RKC059,533100,7477600,410,19
RKC060,532600,7477200,407,17
RKC061,532700,7477200,408.2,19
RKC062,532800,7477200,410,25
RKC063,532900,7477200,410,25
RKC064,533000,7477200,410,31
RKC065,533100,7477200,410,37
RKC066,533200,7477200,410,43
RKC067,533300,7477200,410,37
RKC068,533400,7477200,410,31
RKC069,533500,7477200,410,31
RKC070,533600,7477200,410,19
RKC071,533700,7477200,410,13
RKC072,533700,7476800,411,31
RKC073,533600,7476800,410,31
RKC074,533500,7476800,410,31
RKC075,533400,7476800,410,31
RKC076,533300,7476800,410,25
RKC077,533200,7476800,410,31
RKC078,533100,7476800,410,25
RKC079,533000,7476800,410,25
RKC080,533200,7476000,410,36
RKC081,533100,7476000,409.4,19
RKC082,533300,7476000,410.4,25
RKC083,533400,7476000,411.7,31
RKC084,533500,7476000,413.4,31
RKC085,533600,7476000,413.7,19
RKC086,533700,7476000,414.5,25
RKC087,533800,7476000,416.9,37
RKC088,533900,7476000,419,31
RKC089,534000,7476000,418.4,13
RKC090,533900,7475200,418.3,19
RKC091,533800,7475200,417.4,13
RKC092,533700,7475200,419.2,13
RKC093,533600,7475200,421,13
RKC094,533400,7475200,415,31
RKC095,533500,7475200,420.3,35
RKC096,534000,7474400,423.8,25
RKC097,533900,7474400,423,25
RKC098,533800,7474400,421.7,31
RKC099,533700,7474400,420.1,37
